Time	vincentr21	Michael Tardibuono	Benjamin Wuethrich	374494	Marc-François Cochaux-Laberge	Chuck Walker	Daniel Shanker	ellen-h	Stefan Tihanyi	dubyte	Thomas Fix	Adam Harvie	frigley1	Ricky Kwan	Noah Kipin	Peter Chau	Marie Payne
1544505488	503	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544505588	?	978	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544505633	?	?	?	?	737	?	?	?	?	?	?	?	?	?	?	?	?
1544505846	?	?	?	?	?	?	?	?	?	349	?	?	?	?	?	?	?
1544506519	?	?	?	991	?	?	?	?	?	?	?	?	?	?	?	?	?
1544506713	?	?	?	?	?	986	?	?	?	?	?	?	?	?	?	?	?
1544506866	?	?	?	?	?	?	?	?	?	?	?	?	943	?	?	?	?
1544506869	?	?	?	?	784	?	?	?	?	?	?	?	?	?	?	?	?
1544506964	?	?	952	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544507385	?	?	?	?	?	?	?	?	?	388	?	?	?	?	?	?	?
1544510104	548	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544563321	?	?	?	?	?	?	476	?	?	?	?	?	?	?	?	?	?
1544567314	?	?	?	?	?	?	521	?	?	?	?	?	?	?	?	?	?
1544582209	?	?	?	?	?	?	565	?	?	?	?	?	?	?	?	?	?
1544582273	?	?	?	?	?	?	609	?	?	?	?	?	?	?	?	?	?
1544583268	?	?	?	?	?	?	653	?	?	?	?	?	?	?	?	?	?
1544586750	?	?	?	?	?	?	697	?	?	?	?	?	?	?	?	?	?
1544591998	?	?	?	?	?	?	?	?	?	?	?	?	994	?	?	?	?
1544592399	?	?	1002	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544592611	?	?	?	1040	?	?	?	?	?	?	?	?	?	?	?	?	?
1544592660	?	1026	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544592787	?	?	1053	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544593100	595	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544593124	?	?	?	?	?	?	?	?	?	?	?	?	1044	?	?	?	?
1544594295	?	1075	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544594618	643	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544594978	?	?	?	?	?	1032	?	?	?	?	?	?	?	?	?	?	?
1544595535	?	?	?	1087	?	?	?	?	?	?	?	?	?	?	?	?	?
1544599313	?	?	?	?	?	1078	?	?	?	?	?	?	?	?	?	?	?
1544644246	687	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544644295	731	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544653996	?	?	?	?	?	?	740	?	?	?	?	?	?	?	?	?	?
1544654112	?	?	?	?	?	?	783	?	?	?	?	?	?	?	?	?	?
1544672831	774	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544675895	?	?	?	?	?	?	828	?	?	?	?	?	?	?	?	?	?
1544678297	?	?	?	?	?	?	873	?	?	?	?	?	?	?	?	?	?
1544679709	825	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544680030	?	?	?	1137	?	?	?	?	?	?	?	?	?	?	?	?	?
